source,target,lag,selected,connection_type,p_value,effect_size,abs_effect_size,p_gt_pc_alpha,selection_note,connection_string
theta,theta0,3,False,,0.6206115204242353,-0.01571874292831217,0.01571874292831217,True,not_selected_p_value_gt_pc_alpha,"(2,-3) [none] (7,0)"
thetaK,cA,0,False,,0.08627726722357698,-0.0544913125225546,0.0544913125225546,True,not_selected_p_value_gt_pc_alpha,"(3,0) [none] (0,0)"
thetaK,cA,1,False,,0.434279641814294,-0.024865073471202048,0.024865073471202048,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (0,0)"
thetaK,cA,2,False,,0.3254293333652176,-0.031237777800159752,0.031237777800159752,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (0,0)"
thetaK,cA,3,False,,0.9818126418243176,-0.0007243356288149892,0.0007243356288149892,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (0,0)"
thetaK,cB,0,False,,0.1033489712316289,0.05174600337477475,0.05174600337477475,True,not_selected_p_value_gt_pc_alpha,"(3,0) [none] (1,0)"
thetaK,cB,1,False,,0.523966336349163,0.020266201276950446,0.020266201276950446,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (1,0)"
thetaK,cB,2,False,,0.5716744683740569,0.017969549773346083,0.017969549773346083,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (1,0)"
thetaK,cB,3,False,,0.19023515526446286,-0.041581341981203584,0.041581341981203584,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (1,0)"
thetaK,theta,0,True,x-x,7.864187033065099e-48,0.4389184206349861,0.4389184206349861,False,selected,"(3,0) x-x (2,0)"
thetaK,theta,1,False,,0.11914093824807938,-0.04956104505145914,0.04956104505145914,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (2,0)"
thetaK,theta,2,False,,0.05804311321383871,0.06022983029210043,0.06022983029210043,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (2,0)"
thetaK,theta,3,False,,0.8177494473775515,-0.00732563314655431,0.00732563314655431,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (2,0)"
thetaK,thetaK,0,False,,0.0,0.0,0.0,False,not_selected_other_or_constrained,"(3,0) [none] (3,0)"
thetaK,thetaK,1,True,-->,3.402667271531028e-12,-0.21890250997902277,0.21890250997902277,False,selected,"(3,-1) --> (3,0)"
thetaK,thetaK,2,False,,0.01585695786528421,0.07668722825970371,0.07668722825970371,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (3,0)"
thetaK,thetaK,3,False,,0.25299818159701176,-0.0363639430773738,0.0363639430773738,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (3,0)"
thetaK,F,0,False,,0.39222382731089334,-0.027208064018885963,0.027208064018885963,True,not_selected_p_value_gt_pc_alpha,"(3,0) [none] (4,0)"
thetaK,F,1,False,,0.8486799004871313,-0.006068661931399988,0.006068661931399988,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (4,0)"
thetaK,F,2,False,,0.9191208813522876,0.0032279967144149416,0.0032279967144149416,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (4,0)"
thetaK,F,3,False,,0.4305449661777839,0.025029648545375847,0.025029648545375847,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (4,0)"
thetaK,QK,0,True,<->,1.5606411343470574e-19,0.28183539674851155,0.28183539674851155,False,selected,"(3,0) <-> (5,0)"
thetaK,QK,1,False,,0.9073285913239169,0.0037006350472777033,0.0037006350472777033,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (5,0)"
thetaK,QK,2,False,,0.789110261284618,-0.008502625968755935,0.008502625968755935,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (5,0)"
thetaK,QK,3,False,,0.9374649477433188,-0.00249161969977002,0.00249161969977002,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (5,0)"
thetaK,cA0,0,False,,0.9228349019571042,0.0030808472036222873,0.0030808472036222873,True,not_selected_p_value_gt_pc_alpha,"(3,0) [none] (6,0)"
thetaK,cA0,1,False,,0.9740097469295491,0.0010362362708654582,0.0010362362708654582,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (6,0)"
thetaK,cA0,2,False,,0.8630498480194286,0.005483535446663987,0.005483535446663987,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (6,0)"
thetaK,cA0,3,False,,0.7878758168448162,-0.0085449782426641,0.0085449782426641,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (6,0)"
thetaK,theta0,0,True,<->,0.000137949263731783,0.12079515702412322,0.12079515702412322,False,selected,"(3,0) <-> (7,0)"
thetaK,theta0,1,False,,0.9739740482102504,0.0010376600894743352,0.0010376600894743352,True,not_selected_p_value_gt_pc_alpha,"(3,-1) [none] (7,0)"
thetaK,theta0,2,False,,0.6748789580154368,0.013334132589443454,0.013334132589443454,True,not_selected_p_value_gt_pc_alpha,"(3,-2) [none] (7,0)"
thetaK,theta0,3,False,,0.6423026608088702,-0.01475022359363524,0.01475022359363524,True,not_selected_p_value_gt_pc_alpha,"(3,-3) [none] (7,0)"
F,cA,0,False,,0.5444975175509731,-0.019244410793032345,0.019244410793032345,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (0,0)"
F,cA,1,False,,0.8831373231607833,-0.0046681922433674874,0.0046681922433674874,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (0,0)"
F,cA,2,False,,0.884150664176364,0.004627424827321279,0.004627424827321279,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (0,0)"
F,cA,3,False,,0.2275935717336364,-0.03832389279138446,0.03832389279138446,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (0,0)"
F,cB,0,False,,0.3682780652441928,-0.028566983046923847,0.028566983046923847,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (1,0)"
F,cB,1,False,,0.2013600998807739,-0.04056010364763933,0.04056010364763933,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (1,0)"
F,cB,2,False,,0.22107405738762323,-0.038846910626441467,0.038846910626441467,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (1,0)"
F,cB,3,False,,0.3852450527857131,0.027555506436134393,0.027555506436134393,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (1,0)"
F,theta,0,False,,0.2848958815203965,-0.033968922894061386,0.033968922894061386,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (2,0)"
F,theta,1,False,,0.9658187451028855,0.001365061763704425,0.001365061763704425,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (2,0)"
F,theta,2,False,,0.9770865749826521,0.0009139890360777177,0.0009139890360777177,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (2,0)"
F,theta,3,False,,0.9516614336978251,0.0019261582381460921,0.0019261582381460921,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (2,0)"
F,thetaK,0,False,,0.39222382731089334,-0.027208064018885963,0.027208064018885963,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (3,0)"
F,thetaK,1,False,,0.028798469531626392,-0.06952199927625895,0.06952199927625895,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (3,0)"
F,thetaK,2,False,,0.9129138788783684,0.003483728187455317,0.003483728187455317,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (3,0)"
F,thetaK,3,False,,0.9740603685007343,0.0010357902219161642,0.0010357902219161642,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (3,0)"
F,F,0,False,,0.0,0.0,0.0,False,not_selected_other_or_constrained,"(4,0) [none] (4,0)"
F,F,1,True,-->,2.7873921217727248e-148,0.7020443159257892,0.7020443159257892,False,selected,"(4,-1) --> (4,0)"
F,F,2,False,,1.0,7.928228386300251e-19,7.928228386300251e-19,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (4,0)"
F,F,3,False,,0.7854934355483817,-0.008643334858635103,0.008643334858635103,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (4,0)"
F,QK,0,False,,0.9880553776845469,0.0004756870091368417,0.0004756870091368417,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (5,0)"
F,QK,1,False,,0.9880606133300157,0.00047547848733190626,0.00047547848733190626,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (5,0)"
F,QK,2,False,,0.9880654354817693,0.0004752864338976912,0.0004752864338976912,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (5,0)"
F,QK,3,False,,0.7793100888703816,0.008899003630568832,0.008899003630568832,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (5,0)"
F,cA0,0,False,,0.9950707426053644,-0.00019629847512981296,0.00019629847512981296,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (6,0)"
F,cA0,1,False,,0.9950730471915699,-0.00019620669812074024,0.00019620669812074024,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (6,0)"
F,cA0,2,False,,0.9950751813515133,-0.00019612170810705335,0.00019612170810705335,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (6,0)"
F,cA0,3,False,,0.9078228470140206,-0.0036770952467506004,0.0036770952467506004,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (6,0)"
F,theta0,0,False,,0.9661268545967516,0.0013493310627631994,0.0013493310627631994,True,not_selected_p_value_gt_pc_alpha,"(4,0) [none] (7,0)"
F,theta0,1,False,,0.966749947832289,0.0013244957539331782,0.0013244957539331782,True,not_selected_p_value_gt_pc_alpha,"(4,-1) [none] (7,0)"
F,theta0,2,False,,0.9673587922326343,0.0013002291570551915,0.0013002291570551915,True,not_selected_p_value_gt_pc_alpha,"(4,-2) [none] (7,0)"
F,theta0,3,False,,0.9537560522520929,0.0018416684440362664,0.0018416684440362664,True,not_selected_p_value_gt_pc_alpha,"(4,-3) [none] (7,0)"
QK,cA,0,False,,0.8788591741638127,0.0048403906746849745,0.0048403906746849745,True,not_selected_p_value_gt_pc_alpha,"(5,0) [none] (0,0)"
