T1,T2,H
401.110698637448,401.046379358925,8454.79015894225
400.227023853175,400.224816970583,8155.40369898286
399.282023317349,399.345117177382,8025.97834050109
398.366810155864,398.479624725279,6827.60423319119
396.943931256874,397.199694564159,5069.895755855
394.784486009114,395.31267577419,6566.94732126053
393.589511068833,394.16600401963,6750.11233959434
392.605616131747,393.178598653995,5450.0018889454
391.070055463045,391.745204510524,6435.10526069525
390.180602547088,390.813356276512,5030.48190508263
388.67778324492,389.389547317807,4824.87031016716
387.222440075512,387.990279393038,5485.22734387634
386.242809739899,386.960099376111,4553.0892625227
384.89507339717,385.634327627912,4127.7336377545
383.46943287633,384.23784651092,4088.57003384806
382.166774605621,382.93043603614,5972.80066041394
381.936497475266,382.474773597596,6332.27751468121
381.90898648508,382.197076583648,5827.42762563491
381.63180164939,381.738266890129,5504.91918852764
381.221081078715,381.18486454878,5132.88759251228
380.665416767099,380.524154744626,6354.06402854855
380.775907104664,380.401468750199,5963.78782653884
380.680210307467,380.13187372455,5072.68087292662
380.148529713183,379.526055544379,5228.75507995808
379.748054281844,379.028103410534,5046.96317812386
379.296730442722,378.494780925993,5756.08180296288
379.245098299931,378.285105077729,6619.58663470995
379.630381787293,378.436556850783,7596.36300930957
380.465525113218,378.967360290698,8116.92567379969
381.477435438796,379.666578538416,8614.19374938552
382.636788769609,380.512262647789,10373.9001762243
384.560059980761,381.998403019694,9040.97630272301
385.624542134046,382.839913314307,8542.98410142336
386.333579971353,383.419113456303,6705.53637565084
386.052990162043,383.21989449734,7513.16349509292
386.204272893385,383.358667808077,7409.47532036331
386.288583264228,383.445557850617,6986.64373128118
386.153046803446,383.356798504333,5149.18382566739
385.112334035935,382.539712146775,5246.7959663616
384.224498615523,381.822952122311,4899.61707021301
383.251857289077,381.021077541223,3463.16783923058
381.658255479784,379.704763861324,2248.00637473342
379.616433119173,378.001109121618,1448.55324203636
377.379066428274,376.105447234311,1174.11110082801
375.22821533586,374.242183132069,-494.220502879996
372.458283550834,371.851331196012,-667.974111768173
369.878468139867,369.570291711604,-41.153980185191
367.870044335787,367.711058241159,-417.142351382829
365.874468726517,365.840871932519,-1108.2252484458
363.732909229643,363.834516438202,-785.632397608173
361.966802107874,362.107674746293,328.54139476722
360.934392594471,360.956015698228,-123.542266183396
359.779182201932,359.709897614388,-588.195477181831
358.507166243148,358.371377102436,-2014.21286714049
356.649343185263,356.562838672897,-2958.35876123936
354.505229486117,354.512282267934,-2303.15818237049
352.90312744632,352.877597824891,-2378.42673741014
351.423601332983,351.33540729306,-1574.22474079685
350.494128829286,350.230561849762,-878.09020634857
350.005670843183,349.48703362849,-487.671680800624
349.761267918465,348.955437434033,287.108994719201
349.928695623978,348.773623224368,1805.79568941465
350.838723906287,349.212919758307,2352.5232883946
351.931113159856,349.837960091791,2739.28758304212
353.107645635391,350.570828118124,2650.70181944378
354.122231981574,351.213296737042,1364.26044454517
354.392139005689,351.293003659582,836.571098994286
354.371210654617,351.155656824711,1148.47955815959
354.508329368235,351.153374386122,17.9148595273407
354.066453861176,350.699037250973,485.80060264438
353.90270877638,350.465929698208,800.316802124957
353.912596299805,350.376111691693,886.999626377443
353.964836483013,350.327703165367,1173.65088009212
354.155178274758,350.397585780001,1177.91366967263
354.328617282118,350.46393231437,1136.22704098175
354.463869074397,350.508628207185,1108.53199488
354.571748164398,350.538893889598,2019.5115927819
355.124329144349,350.931281484991,1895.42075420059
355.559606607014,351.244603675297,-777.315379194301
354.614988256716,350.465332247972,-1250.51011517399
353.528234373457,349.555228283304,-1033.69865784756
352.658561607188,348.800106698917,-56.7481396336292
352.364331376652,348.492399440645,1324.52204242407
352.790159260199,348.760278299566,360.983037094114
352.691634852726,348.622650641937,1115.83475753952
352.980388746223,348.797285746807,1335.15795949291
353.349928851347,349.046552499594,1104.53186739365
353.567201899909,349.184873809082,1110.86220217803
353.765912811008,349.315353154272,1064.25672853582
353.921449894175,349.417404359116,1186.87824461365
354.122744027064,349.560850330028,1404.68312321052
354.412811185963,349.78065980456,709.723012268857
354.326391573501,349.705999524125,-347.105722989966
353.720199554656,349.21420727062,624.44601425966
353.66040260632,349.147920131027,394.282060096968
353.491503375737,348.994538945239,1802.24655012428
354.043476313225,349.415847144396,848.022451695311
354.06313990775,349.423867589244,239.747924259639
353.776699879105,349.187976689755,1657.02757697155
354.22754367968,349.536689468812,3037.01809739836
355.323298360412,350.41124499761,1957.40037362496
355.769668711183,350.788361772239,2131.28926546565
356.258346472797,351.206750345508,3436.87908361038
357.350951367323,352.115995703039,4712.31433967625
358.972013400429,353.467221761181,3348.881063432
359.749252592102,354.171732554466,4911.44226998472
361.230048467884,355.448429520875,5491.22866693523
362.852657954563,356.861288773583,5627.05463142315
364.380919474818,358.222513968134,5307.69425684553
365.596674655759,359.353903123262,4253.23924859182
366.163626814479,359.978656088454,4277.36978879391
366.685949027428,360.566204797337,3949.34779141893
366.992028020395,360.978478554105,6193.65673370113
368.389653585206,362.257555356027,6280.48884352588
369.690932648448,363.475434241736,6002.41003544195
370.723044401324,364.490740687782,5888.34104510882
371.594910483746,365.384271554242,5177.46371407722
372.02415129241,365.926436673305,7162.97259634327
373.403222461341,367.222142961344,7680.6138050713
374.903207117743,368.627727761272,7627.49750778325
376.22663515986,369.90664718229,8623.63974251082
377.915791515129,371.488104540622,8446.78447564237
379.347604601438,372.880210490333,8208.25702896746
380.516972655778,374.072497515145,7514.832851405
381.222691815902,374.897993342071,6774.08663113312
381.487465949879,375.365278493869,8265.73839687858
382.47158855333,376.39417796558,8896.47152440494
383.6726654602,377.598203227924,8835.13047227772
384.722964150318,378.68739017474,10392.2374368353
386.446786453704,380.317730886369,10242.6673348928
387.92344147578,381.765968003848,10361.9990323732
389.312096844389,383.153320016509,8769.39984220637
389.765587081053,383.799580952153,9098.51673511308
390.338286740504,384.529019074787,7499.5557518614
390.054235942385,384.564164944923,6386.28316282523
