t,T1,T2,T3,T4,C,P,H,u1,u2,u3,u4
57.5,22.4088756843929,22.3817476897497,24.0431937039436,22.1041381328353,22.3141348934853,0.641222176044588,0.489505341181417,0,0,6.65954112640337,0
58,22.4136052640455,22.3856734929312,27.4864039821829,22.1085296706928,22.4386742924258,1.41595326566497,0.447453345479918,0,0,6.65954112640337,0
58.5,22.421170698242,22.3929754841836,28.5048047199344,22.1217585291108,22.6157546993949,1.27092839370541,0.40053641572911,0,0,0,0
59,22.4304181935292,22.4024980384968,27.6298449752751,22.1413532695514,22.7247869280444,0.748938183573844,0.361470426828793,0,0,0,0
59.5,22.4388615842166,22.4116875504207,26.880640137769,22.1622486870329,22.7745732723946,0.448306595334572,0.340403331458779,0,0,0,0
60,22.4464392232512,22.4201201774135,26.2372256789853,22.1813574466773,22.7875225151492,0.274585306939693,0.343089753836905,0,0,0,0
60.5,22.4544780732595,22.4286803852618,25.6834624652285,22.1972882212667,22.7792670108501,0.174921686274792,0.368830951237386,0,0,0,0
61,22.4643374221503,22.4384101635302,25.206158677157,22.2096652345476,22.7602283140148,0.119018020166911,0.410706060807852,0,0,0,0
61.5,22.4765237266473,22.4497443320132,24.7943315705724,22.218661771492,22.736754117056,0.0888481441551936,0.457473834226416,0,0,0,0
62,22.4903228852154,22.4621648306137,24.4387407628572,22.224695329809,22.7119726289838,0.0734450498456777,0.496598163524835,0,0,0,0
62.5,22.503908150444,22.4742479007553,24.1315135892554,22.2282233453337,22.6867021561586,0.0659219223877518,0.517582706220604,0,0,0,0
63,22.514824756145,22.4840280319219,23.8658949055365,22.2296268406515,22.6603754878345,0.0619765915178468,0.51486624943995,0,0,0,0
63.5,22.5207079020506,22.4895742379314,23.6360011551888,22.2291747469148,22.6320137711368,0.0589655515804018,0.489061724898142,0,0,0,0
64,22.5200064086132,22.4895725453135,23.4367534239191,22.2270363853269,22.6009649006416,0.0555951905215938,0.44713301115977,0,0,0,0
64.5,22.5124418324728,22.4837228033029,23.263754738988,22.5704343249344,22.5702437842538,0.15637558385197,0.400273607115199,0,0,0,1.4545997376568
65,22.5001105910499,22.4737533307768,23.1139599894707,23.3708758081407,22.5647592020475,0.342634581086265,0.361121449885614,0,0,0,1.4545997376568
65.5,22.4866877218654,22.4627684316987,22.9853032186152,23.6862378806568,22.5773998853561,0.342980250977047,0.340120025420576,0,0,0,0
66,22.474940012392,22.4530216157164,22.8748780660326,23.4356357395079,22.5769168268537,0.213170136035072,0.342905731123942,0,0,0,0
66.5,22.466478913991,22.4457620937888,22.7795331637984,23.2270318579748,22.5649433113792,0.139347441482904,0.368645109593736,0,0,0,0
67,22.4626049091564,22.442060206648,22.6968083585672,23.0528470267495,22.5487263324695,0.0984954805431879,0.410545182592849,0,0,0,0
67.5,22.4636669328537,22.4422728129835,22.6248364561965,22.9070931568333,22.5323943999571,0.0769837294022685,0.457340497829857,0,0,0,0
68,22.4686966878138,22.4457035238847,22.562161956028,22.7850273271244,22.5174412926303,0.0665865880718698,0.496488015121756,0,0,0,0
68.5,22.4755836730839,22.4507098900201,22.507551045864,22.6827243874566,22.5035551868951,0.0619575144354778,0.517493986938613,0,0,0,0
69,22.4815832158359,22.4550919900525,22.4599005895571,22.5968692212846,22.4893920473111,0.0596507953985046,0.514667167663387,0,0,0,0
69.5,22.4840353099322,22.4566673888945,22.4181919531089,22.5246233381166,22.4733977059928,0.057588756346654,0.488755169759916,0,0,0,0
70,22.4811132866727,22.4538862872345,22.38148534308,22.4635475479727,22.4545434272334,0.054763463314531,0.446727662508091,0,0,0,0
70.5,22.4723616130017,22.446288837935,22.3489454602881,22.4115776666335,22.4327970146448,0.0510228200277213,0.399855508622434,0,0,0,0
71,22.4588095347625,22.4346276469303,22.3198786946382,22.3670298508804,22.4091946451972,0.0468393843700439,0.360602533425164,0,0,0,0
71.5,23.3925716398815,22.4208530097252,22.2938660956845,22.3287390647724,22.3968894479666,0.330535091997894,0.339729674219319,2.4339379436763,0,0,0
72,24.8853699718291,22.4091507461711,22.2722054489761,22.2978556286993,22.4407669483703,0.674288240423465,0.34257337539194,2.4339379436763,0,0,0
72.5,25.1843917691363,22.4038465819039,22.256517272318,22.2759692952331,22.5133585708577,0.586459790533484,0.368420007521334,0,0,0,0
73,24.7202209530913,22.4055147984417,22.2457256111233,22.2612392038169,22.5551630170187,0.356109527795462,0.410278367563991,0,0,0,0
73.5,24.3413993350122,22.412562761375,22.237780949563,22.2507134205389,22.5729101697568,0.225979280092262,0.45708204210485,0,0,0,0
74,24.0320952014982,22.4230909612152,22.2313911586737,22.2425341463596,22.5765831943866,0.152539767752556,0.496265594625595,0,0,0,0
74.5,23.7784394507737,22.4347754596224,22.2258347415649,22.2356624211191,22.5712678777005,0.111568486422852,0.517275149668138,0,0,0,0
75,23.5681612557448,22.4450714766479,22.2206407633986,22.2294239063736,22.559348601439,0.0882459764734483,0.514465724032836,0,0,0,0
75.5,23.3908596718251,22.4516633103258,22.2154792873109,22.2233548941377,22.5417364100047,0.0740553783178301,0.488587605433475,0,0,0,0
76,23.2383993842493,22.4529990227934,22.2100963759098,22.2171082381096,22.5190437187137,0.064253835715436,0.446607917472294,0,0,0,0
76.5,23.1051232407764,22.4486692704129,22.2043084029967,22.2104398399347,22.492306510759,0.0564806108720058,0.399733600121502,0,0,0,0
77,22.9877875518901,22.4395121617484,22.1980220935508,22.2032298482181,22.4632405843701,0.0499629010070927,0.360482507788669,0,0,0,0
77.5,22.8851713042191,22.4274325116519,22.1912511520417,22.1954991412873,22.4341602181566,0.0448313664479314,0.339478011830389,0,0,0,0
78,22.7973182375734,22.4149289541849,22.184122041342,22.1874114196651,22.4075876499076,0.0414977337401448,0.342321977096307,0,0,0,0
78.5,22.7246962884073,22.4044848001526,22.1768555212952,22.179245811072,22.3857074817029,0.0403076907383537,0.368279780294127,0,0,0,0
79,22.6673121032103,22.3979079922381,22.1697233666779,22.1713385875876,22.3698105618937,0.0412652008635269,0.410413949336994,0,0,0,0
79.5,22.6241527229684,22.3959114503923,22.1629928573935,22.1640116875391,22.3599976110871,0.0439407488650121,0.457451123292828,0,0,0,0
80,22.5929650078926,23.1038948258566,22.156897403148,22.1575367821475,22.3592805283865,0.261858094878006,0.496491603220335,0,3.45556014913693,0,0
80.5,22.5719879202142,25.2323383831902,22.1529003351631,22.1537628657733,22.4196124251463,0.772619673458287,0.517413065826331,0,3.45556014913693,0,0
81,22.5604543751799,26.3605208061128,22.1535912731073,22.1559134976824,22.5263040272813,0.861422926423093,0.514418255558858,0,0,0,0
81.5,22.554296752324,25.7727004885631,22.1585882898819,22.1633206996352,22.6007290078437,0.520186483447654,0.488527747166946,0,0,0,0
82,22.548073883511,25.2734329378151,22.165306200521,22.1725618009886,22.6333779875341,0.321831392399342,0.446647052444193,0,0,0,0
82.5,22.5386409984257,24.8468277710724,22.1718780338354,22.1812455903168,22.6373254729361,0.2052541549197,0.399844261926886,0,0,0,0
83,22.5254418976008,24.4807266328342,22.1772386693839,22.1880813145993,22.6226638238228,0.135907568334197,0.360708182094006,0,0,0,0
83.5,22.509849650078,24.1664400976057,22.1808904349146,22.1925308117075,22.5973954274466,0.094483659399071,0.339727889976774,0,0,0,0
84,22.4943328260438,23.8977115130492,22.1827381388898,22.1945723249153,22.5679076431207,0.0701974490835764,0.342503651461512,0,0,0,0
84.5,22.4815181048835,23.6697292749988,22.1829566697019,22.1945157846906,22.5389887908102,0.0568973621045626,0.368303766954076,0,0,0,0
85,22.4733527518527,23.4782496192449,22.1818783700483,22.1928509231223,22.5137017955585,0.0508437224668057,0.410243339039059,0,0,0,0
85.5,22.4704690810044,23.3189172110136,22.1798885189574,22.1901106510374,22.4932803741062,0.0494654545263419,0.457055715165348,0,0,0,0
86,22.4721083078027,23.186961208455,22.1773381698756,22.1867636251599,22.4774334755819,0.0506826228965583,0.496318183349203,0,0,0,0
86.5,22.4762330508883,23.0772084371511,22.1744871716544,22.1831446679135,22.4646236578788,0.0527706417513296,0.517473329284084,0,0,0,0
87,22.4800643167147,22.9844115850338,22.1714648459854,22.1794107037054,22.4526647009563,0.0543813324815233,0.515004594650474,0,0,0,0
87.5,22.4809345148779,22.9037692899621,23.27383062991,22.175646460273,22.4477461447884,0.39619405656816,0.489103367153172,0,0,4.89482315777904,0
88,22.4792438417832,22.8336254534804,25.8457128831701,22.1742381652362,22.5151328462479,1.00286155695448,0.447083324024013,0,0,4.89482315777904,0
88.5,22.4780171398301,22.7749947216154,26.9756754347977,22.1789254659141,22.6305046019486,1.01607161412107,0.40027565025139,0,0,0,0
89,22.4773501958963,22.7261390276723,26.3139296116038,22.1885804464125,22.7027122644254,0.603400705278252,0.361204259015385,0,0,0,0
89.5,22.4759466690562,22.6843286821789,25.7464534500427,22.1994550501568,22.7301527460319,0.364462727695222,0.34015740441172,0,0,0,0
90,22.4744015694916,22.6486498387373,25.2586098914201,22.2092073488235,22.730323360816,0.226058664666908,0.342907575228911,0,0,0,0
90.5,22.4743587931909,22.6193443941985,24.8383271456091,22.2168170431133,22.7156163615184,0.146914119700087,0.368672780398173,0,0,0,0
91,22.4772771158177,22.5967594110314,24.4757188416065,22.2220327240747,22.6943378397623,0.102840256522803,0.410570664261061,0,0,0,0
91.5,22.483654843243,22.5806574150248,24.1625785058923,22.2250344716175,22.6713524615782,0.0795081292527518,0.457357597822463,0,0,0,0
92,22.4927121831339,22.569893031003,23.8919914095092,22.22617149709,22.6487891114081,0.0680409443376576,0.49650071962607,0,0,0,0
92.5,22.5025104390254,22.5624599315883,23.6580610807665,22.225795917942,22.6267630340151,0.0628004494023249,0.517514163085129,0,0,0,0
93,22.5104779417751,22.555876571055,23.4556935723841,22.2241667945947,22.6042486163617,0.0601734256124509,0.514829418707761,0,0,0,0
93.5,22.5141395414216,22.5477592615173,23.2804270182963,22.2214298324527,22.5799606305943,0.0579267555745471,0.489065070418669,0,0,0,0
94,22.5117972869024,22.5363640936415,23.1283795378645,22.217637011676,22.5530152533257,0.054986283843379,0.447096063594608,0,0,0,0
94.5,22.503667470451,22.5215866309813,22.9966804247601,23.5903582556319,22.551860394795,0.426991760258493,0.400332978321672,0,0,0,2.33715718828175
95,22.4930432497258,22.5060608751326,22.8842585727326,24.7424781031673,22.5905372033859,0.640921885354291,0.361151442300597,0,0,0,2.33715718828175
95.5,22.4829859748896,22.4921668241695,22.7893979579396,24.3285320268853,22.6233388917541,0.388313348485858,0.340195821323116,0,0,0,0
96,22.4745350955332,22.4804222847867,22.708563844745,23.9724282928407,22.6274166144486,0.239867503058339,0.342887609855416,0,0,0,0
96.5,22.4689278379328,22.471574307703,22.6387838998355,23.6762920458157,22.6160910284646,0.155040279255922,0.368609594134261,0,0,0,0
97,22.467400827938,22.4665016657161,22.5780016526214,23.4292139372888,22.5982517951545,0.107463682690834,0.410537207515558,0,0,0,0
97.5,22.4702872454968,22.4654353381284,22.5248095461534,23.2227469490051,22.5789013739965,0.0821650350703067,0.457331359322113,0,0,0,0
98,22.4766598582088,22.4676189360574,22.478137097012,23.0500064401637,22.5602642383557,0.0695294763767495,0.496497754645366,0,0,0,0
98.5,22.4844624017569,22.4713817734321,22.4371197631472,22.9053520848453,22.5424446185095,0.0635930972149633,0.517523903757991,0,0,0,0
